DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Price,Ecology_3_A
35.0,2.0,47.981561235175036,29.44275054713416,6.0,7.0,9.0,1969.0,33.0,7976.0,5.0,955.0796037287075,0.0,11.0,184966.9307298416,0.0
41.0,3.0,65.68363987232783,40.04954252356546,8.0,7.0,9.0,1978.0,46.0,10309.0,1.0,240.0,1.0,16.0,300009.4500627274,0.0
53.0,2.0,44.947952764125006,29.1976116880482,0.0,8.0,12.0,1968.0,34.0,7759.0,0.0,229.0,1.0,3.0,220925.90852358093,0.0
58.0,2.0,53.352981355613345,52.73151204863503,9.0,8.0,17.0,1977.0,23.0,5735.0,3.0,1084.0,0.0,5.0,175616.22721724625,0.0
99.0,1.0,39.649191950029994,23.7761691108976,7.0,11.0,12.0,1976.0,35.0,5776.0,1.0,2078.0,2.0,4.0,150226.5316437466,0.0
59.0,3.0,80.38447920267191,46.68372012823429,12.0,5.0,17.0,2011.0,35.0,7715.0,4.0,990.0,0.0,6.0,215898.44774214894,0.0
154.0,2.0,62.254113586402504,37.16037741888674,7.0,3.0,5.0,1960.0,20.0,4386.0,14.0,787.456193453571,1.0,5.0,296021.2043771131,0.0
74.0,2.0,80.31292563185586,45.49640951439912,0.0,14.0,0.0,1977.0,6.0,1437.0,3.0,878.3296566619243,0.0,2.0,221244.15666358554,0.0
1.0,2.0,64.51143730838427,40.601441835333056,1.0,9.0,17.0,1977.0,1.0,264.0,0.0,509.7166432588141,0.0,1.0,229102.7959994131,0.0
23.0,1.0,46.46140869718414,18.915552483878766,8.0,13.0,17.0,2014.0,6.0,1437.0,3.0,899.1210204826187,0.0,2.0,95380.22099316985,0.0
28.0,2.0,46.30490677332586,27.922584447134266,6.0,8.0,9.0,1973.0,30.0,6207.0,1.0,1183.0,1.0,0.0,204243.55312879704,0.0
31.0,3.0,68.80885909839964,45.736905639421956,7.0,1.0,8.0,1959.0,23.0,3684.0,2.0,2317.7211553024363,0.0,4.0,165534.5414246522,0.0
13.0,2.0,54.5228049029371,31.75975305618809,1.0,8.0,12.0,1999.0,74.0,19083.0,2.0,557.46803231038,5.0,15.0,229220.37260914012,0.0
57.0,3.0,68.10273923286483,39.3114930561345,8.0,6.0,12.0,1980.0,49.0,11395.0,3.0,1406.0,3.0,4.0,252481.9083226248,0.0
