Id,Price
725,146099.11897207962
15856,183917.01751491215
5480,187618.08633935772
15664,347845.81233958923
14275,129833.4768092496
7633,161556.3581365268
13329,176916.2361038007
5502,197398.4008784801
4220,328989.4087957728
11538,222284.8787729941
15975,268047.82695617765
3310,224778.6460752846
9286,158981.37985674012
11260,193179.4431142921
5214,122052.48221775271
11307,165669.38964280256
13543,398782.87733631424
615,164350.25734640873
3495,225716.86692759302
2321,249068.2138267605
12046,176420.900562009
16688,142802.9747733937
12694,225716.86692759302
783,161309.42626121358
8968,175556.34306943003
13454,191259.24734140755
12190,238192.24968593245
11160,157725.2491283375
10291,169559.17235779265
891,254714.5851077531
2982,182835.17813700545
3818,241268.71302911252
2449,165836.05795018323
8317,175054.39994492667
4922,165167.1046963673
1257,249068.2138267605
9348,175726.65402616467
4176,193446.6977404806
10704,213951.7535429691
6624,122052.48221775271
5428,175553.35887469235
12749,193369.77265616725
8994,213233.07741876363
11513,141934.03534506372
3047,177979.97893873986
9519,225716.86692759302
12309,167374.72806122396
14081,268047.82695617765
8334,254081.87014385298
6343,164754.52775304273
14788,127044.92889333537
15748,303166.13937554945
153,238192.24968593245
14149,175564.073952545
269,167564.45411129552
5452,132311.28434168163
721,161033.1643490694
5079,399809.4603939427
2831,157745.17226101732
10614,122052.48221775271
10131,261953.62277476685
9996,333846.5242838859
3061,209482.5930837745
11733,392253.8719222269
3726,225405.76038530734
10929,180552.95586675717
9011,388837.17887475115
16182,274270.46852671774
4976,197379.155460888
9897,249068.2138267605
1872,207213.05641928813
9205,383777.3424682955
5403,437974.18641334894
14074,196005.81100345883
6268,144598.03628927522
14232,170376.01970775123
8532,232985.07596366474
7034,246949.39965244025
6553,465788.4724030752
3133,191259.24734140755
8596,198584.15077417684
12389,227029.06255344377
14462,182528.2639817998
8860,374540.97451751865
8377,241051.57425595314
6367,326641.16394143563
6917,238192.24968593245
4216,177979.97893873986
5806,175564.073952545
5438,175553.35887469235
6632,193446.6977404806
2650,175564.073952545
5396,188184.06295201916
4044,158981.37985674012
1345,203792.85986235001
856,166759.11002774298
12791,255925.78175172355
12499,224778.6460752846
12249,127044.92889333537
14641,173786.74986908797
1919,164350.25734640873
7848,193132.42935783273
10749,183887.84758518272
15554,175726.65402616467
15834,155691.38478970723
1355,193066.34080534262
15451,175564.073952545
12401,217833.73553065304
10290,165167.1046963673
9462,175654.0477283331
3103,247413.60455848734
3420,124940.57044098877
12262,247413.60455848734
5032,167951.81233709998
8949,254714.5851077531
15567,249068.2138267605
16389,164350.25734640873
7809,117863.23285623272
8990,172068.95309427514
16089,273841.0337910255
12743,122052.48221775271
5132,127044.92889333537
1619,265140.5569171463
2428,122052.48221775271
16741,158981.37985674012
13193,248529.32259901275
12588,354392.80344583996
5067,191259.24734140755
14685,127044.92889333537
2292,163840.5833387904
5746,122052.48221775271
12578,173602.1592347343
14834,145911.6081685111
2147,175564.073952545
8222,127044.92889333537
10419,238192.24968593245
11492,207645.3251566256
3006,196159.3212058865
8761,198208.1003442445
15371,283595.2170351609
16367,174334.8485576287
6317,272453.49498759856
10878,327830.65480695554
3895,164350.25734640873
8041,127651.9985463772
13428,356901.6713257978
14669,176167.4257535437
1006,180447.13001932454
12271,182528.2639817998
3764,408716.91072096536
7675,205386.11376190328
11709,254213.3036144805
8629,175564.073952545
1105,376008.52160714485
6096,176380.9213025036
11727,207830.9091798481
5157,204062.0678175937
3679,174250.8585884549
1755,175564.073952545
7391,171892.52077821916
7425,122052.48221775271
6882,395133.5179076085
10752,394232.5225499767
7472,193446.6977404806
14320,122052.48221775271
9596,166920.29923408054
5317,185114.97403097377
7378,85624.22511261061
16154,183887.84758518272
3464,194384.438427581
4197,238192.24968593245
9477,122052.48221775271
12705,195777.02830260224
16426,193132.42935783273
1481,69509.75438535509
9946,249068.2138267605
12025,163518.32015731992
5341,245613.76695052968
9923,319600.71338030824
7953,323109.992884552
11066,248453.15497960369
5037,175564.073952545
2509,209482.5930837745
4937,315668.59708867717
12089,381839.54829997494
4964,166759.11002774298
16500,249068.2138267605
4625,158981.37985674012
2363,395436.847246609
8148,175564.073952545
3804,175564.073952545
4584,170376.01970775123
10694,111878.8958051661
2691,178183.75374277652
2983,234078.25265670213
13563,300284.67005927314
10747,224778.6460752846
1721,193132.42935783273
2789,254175.69388000533
7214,262750.39653630217
8659,254081.87014385298
5107,271124.2309695897
3843,198475.354970433
14610,362479.6957354108
15505,176420.900562009
5060,224691.8025088061
16055,231100.33806896853
14963,165522.90243202017
4118,142802.9747733937
1672,122052.48221775271
3209,196082.7360877722
16515,132311.28434168163
973,175564.073952545
12529,176380.9213025036
5896,122052.48221775271
5450,284290.75424217386
3249,164350.25734640873
8911,224691.8025088061
5898,238192.24968593245
1024,181806.71362270747
4766,161556.3581365268
15804,192164.7773428784
14303,172967.7604888416
10707,194800.81569016998
6605,228841.49533276344
1138,355463.39292997826
14088,372611.13190516795
9154,195366.89351336515
8190,197379.155460888
398,267392.08344360953
13302,245613.76695052968
9696,152793.11237778218
16786,122052.48221775271
16230,185114.97403097377
6552,217725.48001802503
923,248529.32259901275
9602,268047.82695617765
5857,256173.4064919169
8120,175564.073952545
7134,209482.5930837745
11726,165669.38964280256
8069,122052.48221775271
12420,176420.900562009
8604,226136.67700620598
4854,254175.69388000533
